row_id,lapse_probability,retention_segment,recommended_action
280,0.09305225,Stable,No Action
281,0.25628084,Stable,No Action
282,0.27433157,Stable,No Action
283,0.5220143,Watch,Loyalty Email
284,0.8141344,At-Risk,Agent Call + Discount
285,0.61433804,Watch,Loyalty Email
286,0.0862239,Stable,No Action
287,0.109007835,Stable,No Action
288,0.14853826,Stable,No Action
289,0.26192296,Stable,No Action
290,0.10322007,Stable,No Action
291,0.1110822,Stable,No Action
292,0.103537545,Stable,No Action
293,0.13801812,Stable,No Action
294,0.48619956,Watch,Loyalty Email
295,0.13532068,Stable,No Action
296,0.5947035,Watch,Loyalty Email
297,0.61855006,Watch,Loyalty Email
298,0.8777258,At-Risk,Agent Call + Discount
299,0.725778,At-Risk,Agent Call + Discount
300,0.5915479,Watch,Loyalty Email
301,0.23580271,Stable,No Action
302,0.16281873,Stable,No Action
303,0.3856478,Stable,No Action
304,0.6032443,Watch,Loyalty Email
305,0.5389148,Watch,Loyalty Email
306,0.5485747,Watch,Loyalty Email
307,0.20587137,Stable,No Action
308,0.12525837,Stable,No Action
309,0.067600064,Stable,No Action
310,0.23154949,Stable,No Action
311,0.08283833,Stable,No Action
312,0.113504365,Stable,No Action
313,0.23181209,Stable,No Action
314,0.78804934,At-Risk,Agent Call + Discount
315,0.12863986,Stable,No Action
316,0.08348724,Stable,No Action
317,0.14773345,Stable,No Action
318,0.35210118,Stable,No Action
319,0.6272551,Watch,Loyalty Email
320,0.70869243,At-Risk,Agent Call + Discount
321,0.16987911,Stable,No Action
322,0.14906868,Stable,No Action
323,0.3527866,Stable,No Action
324,0.0722664,Stable,No Action
325,0.20443524,Stable,No Action
326,0.29143837,Stable,No Action
327,0.1059122,Stable,No Action
328,0.15978539,Stable,No Action
329,0.13503082,Stable,No Action
330,0.070617594,Stable,No Action
331,0.22479564,Stable,No Action
332,0.47406444,Watch,Loyalty Email
333,0.28350833,Stable,No Action
334,0.28817415,Stable,No Action
335,0.18408303,Stable,No Action
336,0.26380283,Stable,No Action
337,0.2794429,Stable,No Action
338,0.20797093,Stable,No Action
339,0.4519322,Watch,Loyalty Email
340,0.28732005,Stable,No Action
341,0.3292982,Stable,No Action
342,0.22555292,Stable,No Action
343,0.19356918,Stable,No Action
344,0.1772226,Stable,No Action
345,0.39418617,Stable,No Action
346,0.40874827,Watch,Loyalty Email
347,0.5510607,Watch,Loyalty Email
348,0.36312598,Stable,No Action
349,0.2997842,Stable,No Action
350,0.32839274,Stable,No Action
351,0.30140737,Stable,No Action
352,0.14111051,Stable,No Action
353,0.11673682,Stable,No Action
354,0.19923525,Stable,No Action
355,0.6746623,Watch,Loyalty Email
356,0.17721622,Stable,No Action
357,0.16329199,Stable,No Action
358,0.9038559,At-Risk,Agent Call + Discount
359,0.32764077,Stable,No Action
360,0.3651344,Stable,No Action
361,0.13438109,Stable,No Action
362,0.2926028,Stable,No Action
363,0.5972242,Watch,Loyalty Email
364,0.6103979,Watch,Loyalty Email
365,0.2664905,Stable,No Action
366,0.62675583,Watch,Loyalty Email
367,0.3308575,Stable,No Action
368,0.20404686,Stable,No Action
369,0.34895653,Stable,No Action
370,0.26584867,Stable,No Action
371,0.19801046,Stable,No Action
372,0.24846008,Stable,No Action
373,0.20532176,Stable,No Action
374,0.25681254,Stable,No Action
375,0.38164636,Stable,No Action
376,0.59113795,Watch,Loyalty Email
377,0.15877312,Stable,No Action
378,0.580192,Watch,Loyalty Email
379,0.27954534,Stable,No Action
380,0.3120177,Stable,No Action
381,0.5943109,Watch,Loyalty Email
382,0.40307686,Watch,Loyalty Email
383,0.60253257,Watch,Loyalty Email
384,0.67721665,Watch,Loyalty Email
385,0.6431016,Watch,Loyalty Email
386,0.6592113,Watch,Loyalty Email
387,0.6141074,Watch,Loyalty Email
388,0.14244223,Stable,No Action
389,0.15848115,Stable,No Action
390,0.23866509,Stable,No Action
391,0.21567836,Stable,No Action
392,0.4640342,Watch,Loyalty Email
393,0.2807174,Stable,No Action
394,0.29856524,Stable,No Action
395,0.28993243,Stable,No Action
396,0.19785462,Stable,No Action
397,0.28541866,Stable,No Action
398,0.2031677,Stable,No Action
399,0.20233338,Stable,No Action
400,0.13992707,Stable,No Action
401,0.25636873,Stable,No Action
402,0.22762293,Stable,No Action
403,0.12186489,Stable,No Action
404,0.7572865,At-Risk,Agent Call + Discount
405,0.09882026,Stable,No Action
